NAME,LOCALITY,GDA_LAT,GDA_LONG
AUGUSTUS WATER,Bay / Inlet / Cove,-15.44954,124.66072
AURIFEROUS ISLAND,Waterbody Island,-29.11046,119.63628
AURORA,Homestead,-34.16414,117.40149
AUSKI ROADHOUSE,Place Name,-22.37715,118.68912
AUSTIN,Place Name,-27.63167,117.87643
AUSTIN BAY,Bay / Inlet / Cove,-32.63672,115.74687
AUSTIN DOWNS,Homestead,-27.38041,117.74568
AUSTRALIND,Populated Place,-33.2792,115.71504
AVALON,Place Name,-32.58808,115.64537
AVOCA DOWNS,Homestead,-30.95227,122.32286
AVON YARD,Place Name,-31.64005,116.64957
AVONLEIGH,Homestead,-34.86219,117.27441
AXE HILL,Mountain / Peak / Hill,-26.37381,126.79077
BAANDEE,Place Name,-31.57927,117.98034
BAANGA HILL,Mountain / Peak / Hill,-33.15154,119.84253
BABA HEAD,Cape / Headland / Point,-26.60279,113.68899
BABA POINT,Cape / Headland / Point,-26.65908,113.68121
BABAKIN,Place Name,-32.1232,118.02277
BABBACOORINGANNA,Place Name,-20.63532,118.2646
BABBYALLA HILLS,Place Name,-32.13738,116.99019
BABILION RANGE,Place Name,-31.01313,116.05966
BABRONGAN TOWER,Mountain / Peak / Hill,-18.59847,123.55035
BABY BARNETT HILL,Mountain / Peak / Hill,-34.38555,117.80802
BACK BEACH,Beach,-34.40964,119.39502
BACKDOOR HILLS,Place Name,-24.62028,119.0654
BACON HILL,Mountain / Peak / Hill,-31.12476,118.765
BADBATTING HILL,Mountain / Peak / Hill,-31.10436,116.80812
BADDERA,Place Name,-28.28399,114.64404
BADGARNING ROCKS,Place Name,-33.31196,117.28067
BADGEBUP,Place Name,-33.63375,117.90104
BADGERADDA RANGE,Place Name,-26.85954,115.54768
BADGERADDA RANGE,Place Name,-26.96551,115.49646
BADGINGARRA,Place Name,-30.39876,115.55443
BADGINGARRA,Place Name,-30.38713,115.49698
BADJA,Homestead,-28.60027,116.77852
BADJALING,Place Name,-32.00018,117.50281
BAGGALEY HILL,Mountain / Peak / Hill,-26.70407,128.85098
BAILEY ISLAND,Waterbody Island,-26.90955,118.3155
BAILEY RANGE,Place Name,-28.51371,123.10144
BAILEY RANGE,Place Name,-28.40703,122.98819
BAILUP,Place Name,-31.72098,116.27884
BAILY RANGE,Place Name,-18.42403,127.51615
BAINES HILLS,Place Name,-19.41327,128.10497
BAKER RANGE,Place Name,-25.8161,125.9655
BAKERS HILL,Mountain / Peak / Hill,-34.28279,116.93297
BAKERS HILL,Mountain / Peak / Hill,-31.76598,116.44779
BAKERS HILL,Place Name,-31.74891,116.45664
BAKERS JUNCTION,Place Name,-34.93039,117.91497
BALADJIE,Place Name,-30.98551,118.89119
BALADJIE ROCK,Place Name,-30.95499,118.87649
BALAFIELD,Homestead,-33.50838,116.68883
BALAGUNDI,Place Name,-30.72853,121.68265
BALAMI RIDGE,Place Name,-15.94673,124.53001
BALBALINGUP,Homestead,-34.20406,117.06967
BALBARRUP,Place Name,-34.23747,116.20922
BALBINYA,Place Name,-33.0909,123.5917
BALCATTA,Place Name,-31.87056,115.83083
BALD HEAD,Cape / Headland / Point,-35.10827,118.01997
BALD HILL,Mountain / Peak / Hill,-32.15483,116.81302
BALD HILL,Place Name,-24.7595,119.73674
BALD HILL,Mountain / Peak / Hill,-30.5163,115.67067
BALD HILL,Mountain / Peak / Hill,-19.59022,128.8621
BALD HILL,Mountain / Peak / Hill,-16.00165,127.07813
BALD HILL,Mountain / Peak / Hill,-15.07949,128.47549
BALD HILL,Mountain / Peak / Hill,-31.6065,116.22531
BALD ISLAND,Waterbody Island,-34.94225,116.4852
BALD ROCK,Place Name,-31.5989,116.92749
BALDIVIS,Place Name,-32.30722,115.82257
BALFOUR DOWNS,Homestead,-33.79101,118.7664
BALFOUR DOWNS,Homestead,-22.79925,120.86409
BALGAIR,Homestead,-31.09078,125.658
BALGARRI,Place Name,-30.47957,121.11567
BALGO HILL,Mountain / Peak / Hill,-20.12069,127.79392
BALGO HILLS,Place Name,-20.14277,127.9858
BALI,Place Name,-30.97573,121.02657
BALINGUP,Place Name,-33.78817,115.98545
BALKULING,Place Name,-31.98103,117.11684
BALLA BALLA,Place Name,-20.68929,117.78585
BALLA BALLA HARBOUR,Bay / Inlet / Cove,-20.66545,117.77214
BALLA ROCK,Place Name,-26.90534,116.02659
BALLADONIA,Homestead,-32.4577,123.86647
BALLADONIA HOTEL-MOTEL,Place Name,-32.3522,123.61724
BALLAJURA,Place Name,-31.85536,115.89345
BALLANHOE PEAKS,Place Name,-27.49471,119.16669
BALLATARRA HILL,Mountain / Peak / Hill,-28.41556,114.68017
BALLAYING,Place Name,-33.30755,117.55351
BALLIDU,Place Name,-30.59773,116.77006
BALLOO HILL,Mountain / Peak / Hill,-26.77467,116.81936
BALLYTHUNNA,Homestead,-26.06601,115.66746
BALLYTHUNNA HILL,Mountain / Peak / Hill,-26.05863,115.66509
BALMORAL,Homestead,-21.15982,116.1164
BALYER BLUFF,Place Name,-27.50549,117.56683
BAMBOO CREEK,Place Name,-20.93098,120.21509
BAMBOO LANDING,Place Name,-18.66355,121.77999
BAMBOO SPRINGS,Place Name,-22.05153,119.63957
BANDALUP HILL,Mountain / Peak / Hill,-33.64503,120.37562
BANDICOOT RANGE,Place Name,-15.79501,128.61953
BANDUPPIN ROCK,Place Name,-31.9881,117.68875
BANDY ROCK,Place Name,-29.15407,119.80373
BANDYA,Homestead,-27.69674,122.13392
BANDYA HILL,Mountain / Peak / Hill,-27.78933,122.15176
BANDYUP WOMENS PRISON,Place Name,-31.8621,115.99484
BANGEMALL,Place Name,-24.2083,116.43937
BANJAWARN,Homestead,-27.70424,121.61081
BANJUP,Place Name,-32.13127,115.87792
BANKSIA GROVE,Place Name,-31.69549,115.8157
BANKY BEACH,Beach,-34.45934,119.39271
BANNISTER,Place Name,-32.68026,116.5203
BANNISTER HILL,Mountain / Peak / Hill,-32.63545,116.49739
BAR FLATS,Place Name,-25.88911,113.27855
BARAMUNDI RANGE,Place Name,-18.05253,126.16594
BARBALIN,Place Name,-30.88334,118.11694
BARBILGUNYAH HILL,Mountain / Peak / Hill,-21.25717,120.96534
BARBWIRE RANGE,Place Name,-18.98817,125.00373
BARCOOTING HILL,Mountain / Peak / Hill,-30.81374,118.87138
BARDI (ONE ARM POINT),Populated Place,-16.44639,123.06434
BARDIA HILL,Mountain / Peak / Hill,-31.25323,116.28818
BARDOC,Place Name,-30.33823,121.29596
BARE GRANITE HILL,Mountain / Peak / Hill,-26.40006,121.47601
BARE HILL,Mountain / Peak / Hill,-31.05456,122.16742
BARINE ROCK,Place Name,-31.37132,117.51789
BARING DOWNS,Place Name,-23.26537,117.20137
BARITE RANGE,Place Name,-21.15047,119.43706
BARJARDER,Place Name,-27.58164,115.92822
BARKALA,Homestead,-33.28581,116.68516
BARKER GORGE,Gorge,-17.25794,124.72446
BARKER PASSAGE,Place Name,-28.3198,113.60654
BARKODULGA,Place Name,-28.12259,115.72885
BARLANGI ROCK,Place Name,-27.18271,118.83444
BARLEE IMPEDIMENT,Place Name,-15.79446,124.67431
BARLEE RANGE,Place Name,-23.6992,116.28766
BARLINA,Homestead,-34.75093,117.43747
BARLOWEERINYER HILL,Mountain / Peak / Hill,-26.7927,117.98522
BARN HILL,Mountain / Peak / Hill,-18.36566,122.04447
BARN HILL OUTSTATION,Homestead,-18.369,122.04048
BARNARD ROCKS,Place Name,-26.10935,128.34139
BARNES ISLAND,Waterbody Island,-15.19085,128.17123
BARNETT PEAK,Mountain / Peak / Hill,-34.34831,117.88396
BARNETT POINT,Cape / Headland / Point,-14.93779,128.2972
BARNETT RANGE,Place Name,-16.6952,126.07131
BARNETT RANGE,Place Name,-16.66191,126.11582
BARNETT RIVER GORGE,Gorge,-16.53294,126.13822
BARNICARNDY HILLS,Place Name,-21.22884,121.68101
BARNONG,Homestead,-28.63114,116.27795
BARON RANGE,Place Name,-23.6315,127.20608
BAROOKEE HILL,Mountain / Peak / Hill,-33.16853,119.87641
BAROONA HILL,Mountain / Peak / Hill,-21.48432,120.48945
BAROWANNA HILL,Mountain / Peak / Hill,-21.42919,117.15985
BARR SMITH RANGE,Place Name,-27.10776,120.26728
BARRACK POINT,Cape / Headland / Point,-34.34546,115.16929
BARRAGUP,Place Name,-32.54868,115.77506
BARRAMBIE,Homestead,-27.52133,119.18668
BARRAWEELBARRA HILL,Mountain / Peak / Hill,-28.32778,115.45495
BARRETTS CROSSING,Place Name,-31.3312,116.26368
BARRIER ANCHORAGE,Bay / Inlet / Cove,-33.9798,123.15819
BARRON HILLS,Place Name,-32.82519,117.11845
BARRONHURST,Place Name,-34.43326,116.0689
BARROW HILL,Mountain / Peak / Hill,-26.3152,127.42217
BARROW RANGE,Place Name,-25.93857,127.45669
BARTON PLAIN,Place Name,-14.32979,126.9619
BARTON PLAINS,Homestead,-14.25878,126.90325
BARTONS MILL,Place Name,-32.05566,116.2054
BARWIDGEE,Homestead,-27.03574,120.92461
BASKERVILLE,Place Name,-31.80296,116.01975
BASSENDEAN,Place Name,-31.90281,115.94678
BATEMAN BAY,Bay / Inlet / Cove,-23.0958,113.78285
BATES CAVE,Place Name,-32.31428,118.96505
BATES RANGE,Place Name,-27.45342,121.08928
BATHURST POINT,Cape / Headland / Point,-31.99091,115.54292
BATTERY POINT,Cape / Headland / Point,-15.50441,124.44734
BATTHEWMURNARNA HILL,Mountain / Peak / Hill,-24.96234,119.37386
BATTLE HILL,Mountain / Peak / Hill,-22.72604,120.10739
BATTLEMENT ROCKS,Place Name,-20.10333,123.2876
BATYALLIN HILL,Mountain / Peak / Hill,-32.55628,116.92928
BAUDIN POINT,Cape / Headland / Point,-32.24396,115.68148
BAULK FACE RANGE,Place Name,-17.35547,126.73932
BAY OF REST,Bay / Inlet / Cove,-22.3081,114.13229
BAYLISS ISLANDS,Place Name,-16.22672,123.50157
BAYONET HEAD,Cape / Headland / Point,-34.97942,117.94561
BAYONET HEAD,Place Name,-34.97859,117.93716
BAYONET HILL,Mountain / Peak / Hill,-16.32798,125.53671
BAYSWATER,Place Name,-31.91812,115.91424
BAYULU,Populated Place,-18.29996,125.59574
BEACON,Place Name,-30.45128,117.86565
BEACON HEAD,Cape / Headland / Point,-32.15695,115.66858
BEACON HILL,Mountain / Peak / Hill,-26.83791,122.58367
BEACON POINT,Cape / Headland / Point,-22.62845,113.66974
BEADON POINT,Cape / Headland / Point,-21.63212,115.10897
BEAGLE BAY,Populated Place,-16.9809,122.66748
BEAGLE BAY,Bay / Inlet / Cove,-16.91245,122.53695
BEAGLE HILL,Mountain / Peak / Hill,-24.48597,113.41944
BEAL OUTSTATION,Homestead,-26.32106,126.94088
BEANTHINY HILL,Mountain / Peak / Hill,-29.58139,117.26259
BEARDMORE RIDGE,Place Name,-34.80877,116.67746
BEASLEY PINNACLES,Mountain / Peak / Hill,-23.50481,117.10717
BEATENALLY HILL,Mountain / Peak / Hill,-28.6944,114.79745
BEATON GORGE,Gorge,-21.88576,120.09173
BEATRICE MAY BLUFF,Mountain / Peak / Hill,-26.43083,123.94818
BEATTY,Place Name,-28.51545,115.65233
BEAUTY POINT,Cape / Headland / Point,-13.97274,126.79694
BEBENORIN HILL,Mountain / Peak / Hill,-33.67961,123.01401
BECHER POINT,Cape / Headland / Point,-32.37061,115.71535
BECKENHAM,Place Name,-32.02226,115.95368
BEDARLO,Place Name,-30.09858,118.0065
BEDFORD DOWNS,Homestead,-17.26117,127.46304
BEDFORD ISLANDS,Place Name,-16.14036,123.32251
BEDFORD RANGE,Place Name,-25.1397,127.24065
BEDFORDALE,Place Name,-32.17998,116.06727
BEDOWAN HILL,Mountain / Peak / Hill,-31.29449,116.52332
BEDUNBURRA,Place Name,-17.6409,123.17179
BEE GORGE,Gorge,-22.25168,118.25702
BEE HILL,Mountain / Peak / Hill,-22.0174,120.87518
BEEBEEGNYING HILLS,Mountain / Peak / Hill,-30.63523,117.8659
BEEBERING HILLS,Place Name,-31.59888,117.00893
BEEBYN,Homestead,-26.96859,117.90113
BEEBYNBEEBYNGANNA HILL,Mountain / Peak / Hill,-27.03072,117.82379
BEECHBORO,Place Name,-31.87537,115.94447
BEECHINA,Place Name,-31.85824,116.31349
BEECHINA HILL,Mountain / Peak / Hill,-31.81765,116.33487
BEEDEINNA HILL,Mountain / Peak / Hill,-27.87277,116.42455
BEEDIE BEEDIE HILL,Mountain / Peak / Hill,-27.34583,116.64049
BEEDINA HILL,Mountain / Peak / Hill,-21.03172,116.66111
BEEFWOOD PARK,Homestead,-18.99069,125.843
BEELA,Place Name,-33.23449,115.91299
BEELERUP,Place Name,-33.56722,115.8501
BEELU ISLAND,Waterbody Island,-24.94289,115.89954
BEENONG,Place Name,-33.04228,118.59419
BEERINGGNURDING HILL,Mountain / Peak / Hill,-29.89544,117.91382
BEERMULLAH,Place Name,-31.21236,115.80198
BEERMULLAH PLAIN,Place Name,-31.1834,115.75206
BEETE,Place Name,-32.70266,121.53872
BEETHEN OUTCAMP,Place Name,-26.80641,113.74824
BEETLE ROCK,Place Name,-34.29092,118.32288
BEHN GORGE,Gorge,-16.48841,128.90021
BEJAH HILL,Mountain / Peak / Hill,-23.78964,124.19741
BEJALING SAND PATCH,Place Name,-24.59305,113.51408
BEJOORDING,Place Name,-31.38468,116.53241
BEKKER HILL,Mountain / Peak / Hill,-32.14485,121.83111
BELELE,Homestead,-26.36047,118.03148
BELHUS,Place Name,-31.78336,116.00574
BELINUP HILL,Mountain / Peak / Hill,-33.84508,123.01906
BELKA,Place Name,-31.73448,118.17022
BELL GORGE,Gorge,-16.97421,125.19256
BELL GORGE,Gorge,-16.9363,125.17824
BELL POINT,Cape / Headland / Point,-16.77823,122.69445
BELL ROCK,Place Name,-26.12258,128.59787
BELL ROCK RANGE,Place Name,-26.20593,128.71689
BELLAKIN HILL,Mountain / Peak / Hill,-33.53621,117.59693
BELLANGER BEACH,Beach,-35.01702,116.78585
BELLEAIR,Homestead,-34.70071,117.77179
BELLEFIN PRONG,Cape / Headland / Point,-26.13278,113.30457
BELLEVUE,Place Name,-31.88792,116.05157
BELLS TOWER,Mountain / Peak / Hill,-17.3102,122.93857
BELMONT,Place Name,-31.94142,115.92583
BELMONT PARK,Place Name,-31.94804,115.89159
BELMUNGING,Place Name,-31.86282,117.16219
BELT PINNACLE,Mountain / Peak / Hill,-24.53296,123.85059
BELVIDERE BEACH,Beach,-33.22445,115.68264
BEN DEARG BEACH,Beach,-35.006,118.05693
BENALLA HILL,Mountain / Peak / Hill,-28.83758,121.66627
BENARI,Place Name,-31.09409,120.69411
BENBENGADAGING HILL,Mountain / Peak / Hill,-31.36446,116.5246
BENCUBBIN,Place Name,-30.8094,117.86246
BEND ISLAND,Waterbody Island,-25.07542,115.46075
BEND POINT,Mountain / Peak / Hill,-18.4458,123.22666
BENDERINE ROCK,Place Name,-31.53007,117.65016
BENDERING,Place Name,-32.3932,118.30128
BENEDICTINE BAY,Bay / Inlet / Cove,-20.41165,115.58167
BENELONG,Homestead,-33.37437,120.73086
BENGER,Place Name,-33.1749,115.86075
BENJABERRING,Place Name,-31.14478,117.28823
BENJINUP,Place Name,-33.76423,116.31392
BENNELAKING,Place Name,-33.45613,116.57964
BENNETT RANGE,Place Name,-34.94119,117.213
BENTENALLING ROCK,Place Name,-31.57869,116.83893
BENTLEY HILL,Mountain / Peak / Hill,-25.82891,127.1171
BERAKING,Place Name,-32.0864,116.33176
BERGINING,Place Name,-32.71139,116.00157
BERIA,Place Name,-28.56114,122.38469
BERIJUP,Place Name,-32.57816,115.87498
BERINGARRA,Homestead,-26.04067,116.95353
BERRING,Place Name,-31.26492,116.91275
BERRY BROW HILL,Mountain / Peak / Hill,-31.80803,116.51457
BERTHA PEAK,Mountain / Peak / Hill,-18.14954,127.95529
BERTRAM COVE,Bay / Inlet / Cove,-14.02607,127.45035
BETTIE CROSSING,Place Name,-27.49429,114.32074
BETTYS BEACH,Beach,-34.93106,118.21035
BEVERLEY,Populated Place,-32.10896,116.9228
BEVERLEY SPRINGS,Homestead,-16.7153,125.46132
BEYONDIE,Homestead,-24.78804,120.03778
BEYONDIE BLUFF,Mountain / Peak / Hill,-24.71117,119.91409
BIBBY GIDDY OUTCAMP,Place Name,-26.33143,113.37869
BIBILUP,Place Name,-33.92196,115.73555
BIBRA LAKE,Place Name,-32.10546,115.82794
BICK POCKET,Place Name,-16.3979,126.97615
BICKLEY,Place Name,-32.00653,116.08572
BIDAMINNA HILL,Mountain / Peak / Hill,-31.132,115.54577
BIDGEMIA,Homestead,-25.04065,115.3091
BIDGERABBIE HILL,Mountain / Peak / Hill,-30.8103,115.78936
BIDIJUL,Place Name,-18.61099,125.12386
BIDYADANGA COMMUNITY,Populated Place,-18.68366,121.77889
BIG BEACH,Beach,-26.42852,113.56187
BIG BELL,Place Name,-27.33971,117.66114
BIG ISLAND,Waterbody Island,-24.12497,115.62095
BIG LAGOON,Bay / Inlet / Cove,-25.71999,113.45787
BIGGE POINT,Cape / Headland / Point,-14.28167,125.72806
BIGINA,Place Name,-25.04887,115.30862
BIJERY MUMAL HILL,Mountain / Peak / Hill,-27.49545,120.60333
BILBARIN,Place Name,-32.2043,117.9514
BILBARIN HILL,Mountain / Peak / Hill,-32.09724,116.96362
BILBARRD OUTSTATION,Homestead,-21.97908,127.73418
BILBERTHA HILL,Mountain / Peak / Hill,-28.43683,116.72786
BILBUNYA DUNES,Place Name,-32.96252,124.31548
BILGA ROCK,Place Name,-26.95527,115.94161
BILLABALONG,Homestead,-27.42189,115.83451
BILLABONG HOLES,Place Name,-16.44219,126.62948
BILLABONG ROADHOUSE,Place Name,-26.81617,114.61257
BILLADERRIN ROCK,Place Name,-32.08917,118.30073
BILLERICAY,Place Name,-32.27627,118.3272
BILLIBURNING ROCK,Place Name,-30.17142,117.91275
BILLIKIBILLIKINE,Place Name,-31.7981,117.35969
BILLILUNA,Homestead,-19.55599,127.66148
BILLINGARRA,Place Name,-23.2606,118.10862
BILLINOOKA,Homestead,-23.03817,120.89213
BILLS BAY,Bay / Inlet / Cove,-23.13171,113.76143
BILLS PADDOCK,Place Name,-33.0756,123.44725
BILLYACATTING HILL,Mountain / Peak / Hill,-31.0502,118.02764
BILOCUPPING,Place Name,-30.61498,118.29966
BIMBIJY,Homestead,-29.6982,118.03834
BIMBIJY CLIFF,Mountain / Peak / Hill,-29.68586,118.03417
BINARONCA ROCK,Place Name,-31.70625,121.69256
BINDANGWAH,Place Name,-27.30363,116.79737
BINDAREE,Homestead,-33.71044,116.53452
BINDI BINDI,Place Name,-30.63053,116.36482
BINDOO HILL,Mountain / Peak / Hill,-28.49269,115.2496
BINDOON,Place Name,-31.38221,116.09448
BINDOON HILL,Mountain / Peak / Hill,-31.33626,116.13764
BINDULI,Place Name,-30.79329,121.4141
BING SIDING,Place Name,-20.44658,118.62817
BINJARRABIN ROCK,Place Name,-31.31895,118.49872
BINNINGUP,Populated Place,-33.1483,115.69519
BINNU,Place Name,-28.04171,114.6735
BINTHALYA,Homestead,-24.68802,114.83687
BINYARINYINNA ROCK,Place Name,-31.5613,122.09236
BIRDWHISTLE ROCK,Place Name,-32.89056,117.46905
BIRDWOOD DOWNS,Homestead,-17.34862,123.77008
BIRIDU,Place Name,-17.88826,125.62252
BIRMINGHAM HILL,Mountain / Peak / Hill,-29.28756,121.44349
BISHOP HILL,Mountain / Peak / Hill,-29.62486,115.3693
BISHOP RANGE,Place Name,-20.58971,127.36094
